"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R99","R_0402","11.541mm","-1.794mm","11.541mm","-1.794mm","11.541mm","-1.294mm","B","270.00","10K"
"RN1","RCA50-8/3","24.323mm","-19.1144mm","24.3227mm","-19.1144mm","23.7581mm","-18.3643mm","T","0.00","24R*4"
"RN10","RCA50-8/3","44.6208mm","-14.8541mm","44.6208mm","-14.8544mm","45.3709mm","-15.419mm","B","90.00","100R*4"
"RN15","RCA50-8/3","17.9222mm","-25.9724mm","17.9219mm","-25.9724mm","17.3573mm","-25.2223mm","T","0.00","33R*4"
"RN16","RCA50-8/3","20.8455mm","-28.5093mm","20.8452mm","-28.5093mm","20.2806mm","-27.7593mm","T","0.00","33R*4"
"RN17","RCA50-8/3","16.6174mm","-29.1581mm","16.6171mm","-29.1581mm","16.0525mm","-28.408mm","T","0.00","33R*4"
"RN18","RCA50-8/3","13.655mm","-30.392mm","13.6547mm","-30.392mm","13.0901mm","-29.6419mm","T","0.00","33R*4"
"RN19","RCA50-8/3","15.9918mm","-32.2462mm","15.9915mm","-32.2462mm","15.4269mm","-31.4961mm","T","0.00","33R*4"
"RN2","RCA50-8/3","47.9389mm","-3.8514mm","47.9392mm","-3.8514mm","48.5038mm","-4.6015mm","T","180.00","100R*4"
"RN3","RCA50-8/3","35.2955mm","-16.2955mm","35.2955mm","-16.2952mm","36.0456mm","-15.7306mm","T","270.00","24R*4"
"RN4","RCA50-8/3","20.5892mm","-24.677mm","20.5889mm","-24.677mm","20.0243mm","-23.9269mm","T","0.00","33R*4"
"RN5","RCA50-8/3","26.9137mm","-17.8192mm","26.9135mm","-17.819mm","27.0446mm","-16.8894mm","T","315.00","24R*4"
"RN6","RCA50-8/3","32.8569mm","-16.219mm","32.8569mm","-16.2188mm","33.6069mm","-15.6541mm","T","270.00","24R*4"
"RN7","RCA50-8/3","47.9389mm","-1.413mm","47.9392mm","-1.413mm","48.5038mm","-2.1631mm","T","180.00","100R*4"
"RN8","RCA50-8/3","47.9389mm","-7.7376mm","47.9392mm","-7.7376mm","48.5038mm","-8.4877mm","T","180.00","100R*4"
"RN9","RCA50-8/3","47.9389mm","-10.8364mm","47.9392mm","-10.8364mm","48.5038mm","-11.5865mm","T","180.00","100R*4"
"U1","TQFP177P0_4","34.6351mm","-31.9922mm","34.6351mm","-31.9922mm","43.2351mm","-21.2172mm","T","270.00","R8"
"U10","SOT-23-6","28.829mm","-5.033mm","28.829mm","-5.033mm","27.679mm","-4.083mm","T","360.00","AP3032/SY7200A"
"U29","FBGA96C80P9X13","15.9247mm","-17.0664mm","15.925mm","-17.0664mm","17.9047mm","-10.5612mm","T","315.00","DDR3-FBGA96"
"U4","SOT-23-5","23.0026mm","-0.8038mm","21.8026mm","-0.8288mm","21.8026mm","-1.7788mm","B","360.00","AP3410/SY8088"
"U5","SOT-23-5","57.982mm","-25.886mm","59.182mm","-25.861mm","59.182mm","-24.911mm","B","180.00","AP3410/SY8088"
"U6","SOT-23-6","59.436mm","-32.719mm","59.436mm","-32.719mm","60.386mm","-33.869mm","B","90.00","RT9266"
"U7","QFN40","77.078mm","-36.315mm","77.078mm","-36.315mm","78.878mm","-38.69mm","B","90.00","XR819"
"U8","SSOP48","61.417mm","-33.076mm","67.167mm","-22.876mm","67.167mm","-22.876mm","T","270.00","NAND FLASH X8"
"U9","SOT-223","68.072mm","-37.418mm","68.072mm","-37.418mm","65.7606mm","-34.243mm","B","360.00","AZ1117CH-1.8TRG1"
"X1","XTAL/3225","77.874mm","-42.399mm","76.824mm","-41.649mm","76.824mm","-41.649mm","B","0.00","NC-XTAL3225-26M"
"X2","XTAL/3225","19.443mm","-44.115mm","20.193mm","-45.165mm","20.193mm","-45.165mm","T","90.00","24M-18pF-3225-10PPM"
"X3","CRYSTAL2","80.507mm","-28.822mm","80.507mm","-28.822mm","81.207mm","-27.972mm","B","270.00","16MHZ-10PPM"
"R142","R_0603","76.824mm","-29.711mm","76.824mm","-29.711mm","77.6495mm","-29.711mm","B","180.00","0R-1%"
"U11","QFN48_BLE","73.395mm","-24.758mm","73.395mm","-24.758mm","70.37mm","-26.958mm","B","360.00","nRF52832"
"R159","R_0603","69.215mm","-19.765mm","69.215mm","-19.765mm","70.0405mm","-19.765mm","T","180.00","0R-1%"
"L1","CD32","68.707mm","-15.066mm","68.707mm","-15.066mm","68.707mm","-16.516mm","T","90.00","2.2uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"L15","L_0603","69.215mm","-31.068mm","69.215mm","-31.068mm","70.0405mm","-31.068mm","B","180.00","600R-1.5A/NA"
"L4","CD32","64.135mm","-1.604mm","64.135mm","-1.604mm","65.585mm","-1.604mm","T","180.00","4.7uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"A1","3216","86.73mm","-32.505mm","86.73mm","-32.505mm","86.255mm","-34.205mm","B","90.00","ASC_RFANT3216120A5T_V07"

