"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C236","C_0402","80.5556mm","33.5788mm","80.5556mm","33.5788mm","80.0556mm","33.5788mm","B","360.00","1uF"
"C235","C_0402","77.9902mm","38.4302mm","77.9902mm","38.4302mm","78.4902mm","38.4302mm","B","180.00","1uF"
"C228","C_0402","53.4652mm","17.0714mm","53.4652mm","17.0714mm","53.4652mm","17.5714mm","B","270.00","0.1uF"
"C227","C_0402","59.1222mm","16.5098mm","59.1222mm","16.5098mm","59.1222mm","17.0098mm","B","270.00","0.1uF"
"C226","TAN_0603","54.5828mm","16.7412mm","54.5828mm","16.7412mm","54.5828mm","17.5667mm","B","270.00","22uF"
"C225","C_0603","65.2254mm","16.5634mm","65.2254mm","16.5634mm","65.2254mm","17.3889mm","B","270.00","10uF"
"C32","C0402","6.4244mm","13.3466mm","6.4244mm","13.3466mm","6.4244mm","13.8466mm","T","270.00","NC"
"C31","C0402","15.3538mm","10.4394mm","15.3538mm","10.4394mm","15.3538mm","9.9394mm","T","90.00","104"
"RN2","RCA50-8/3","49.8218mm","39.211mm","49.822mm","39.211mm","50.3866mm","38.4609mm","T","180.00","100R*4"
"C59","C_0402","61.136mm","39.2mm","61.136mm","39.2mm","60.636mm","39.2mm","T","0.00","1uF"
"J15","503480-0620","45.7mm","29.9mm","45.7mm","29.9mm","46.335mm","30.3mm","T","270.00","CON"
"J16","503304-4240","45.7mm","39.97mm","45.7mm","39.97mm","46.925mm","43.97mm","T","270.00","AT070TN93"
"R176","R_0603","83.883mm","9.6774mm","83.883mm","9.6774mm","84.7085mm","9.6774mm","B","180.00","0R-1%"
"A1","3216","89.8mm","13mm","89.8mm","13mm","90.275mm","14.7mm","B","270.00","ASC_RFANT3216120A5T_V07"
"L4","CD32","65.835mm","45.296mm","65.835mm","45.296mm","67.285mm","45.296mm","T","180.00","4.7uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"L1","CD32","70.407mm","31.834mm","70.407mm","31.834mm","70.407mm","30.384mm","T","90.00","2.2uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"X2","XTAL/3225","21.0668mm","3.4454mm","21.8168mm","2.3954mm","21.8168mm","2.3954mm","T","90.00","24M-18pF-3225-10PPM"
"U8","SSOP48","63.117mm","13.824mm","68.867mm","24.024mm","68.867mm","24.024mm","T","270.00","NAND FLASH X8"
"U5","SOT-23-5","26.4478mm","41.903mm","27.6478mm","41.878mm","27.6478mm","40.928mm","T","180.00","AP3410/SY8088"
"U4","SOT-23-5","8.064mm","38.8492mm","8.039mm","40.0492mm","7.089mm","40.0492mm","B","270.00","AP3410/SY8088"
"U2","FBGA96C80P9X13","17.6247mm","29.8336mm","17.625mm","29.8336mm","19.6046mm","36.3388mm","T","315.00","DDR3-FBGA96"
"U1","TQFP177P0_4","36.3351mm","14.9078mm","36.3351mm","14.9078mm","44.935mm","25.6827mm","T","270.00","R8"
"RN8","RCA50-8/3","40.6778mm","43.4594mm","40.6776mm","43.4594mm","40.113mm","44.2095mm","T","360.00","100R*4"
"RN7","RCA50-8/3","49.7456mm","42.4876mm","49.7458mm","42.4876mm","50.3104mm","41.7375mm","T","180.00","100R*4"
"RN6","RCA50-8/3","34.5569mm","30.681mm","34.5569mm","30.6812mm","35.3069mm","31.2459mm","T","270.00","24R*4"
"RN5","RCA50-8/3","28.6137mm","29.0808mm","28.6135mm","29.081mm","28.7446mm","30.0106mm","T","315.00","24R*4"
"RN4","RCA50-8/3","22.2892mm","22.223mm","22.2889mm","22.223mm","21.7243mm","22.9731mm","T","0.00","33R*4"
"RN3","RCA50-8/3","36.9955mm","30.6045mm","36.9955mm","30.6048mm","37.7456mm","31.1694mm","T","270.00","24R*4"
"RN19","RCA50-8/3","17.6918mm","14.6538mm","17.6915mm","14.6538mm","17.1269mm","15.4039mm","T","0.00","33R*4"
"RN18","RCA50-8/3","15.355mm","16.508mm","15.3547mm","16.508mm","14.7901mm","17.2581mm","T","0.00","33R*4"
"RN17","RCA50-8/3","18.3174mm","17.7419mm","18.3171mm","17.7419mm","17.7525mm","18.492mm","T","0.00","33R*4"
"RN16","RCA50-8/3","22.5455mm","18.3907mm","22.5452mm","18.3907mm","21.9806mm","19.1407mm","T","0.00","33R*4"
"RN15","RCA50-8/3","19.6222mm","20.9276mm","19.6219mm","20.9276mm","19.0573mm","21.6777mm","T","0.00","33R*4"
"RN1","RCA50-8/3","26.023mm","27.7856mm","26.0227mm","27.7856mm","25.4581mm","28.5357mm","T","0.00","24R*4"
"R99","R_0402","55.9798mm","3.8312mm","55.9798mm","3.8312mm","55.9798mm","4.3312mm","T","270.00","10K"
"R94","R_0402","39.4847mm","30.859mm","39.4847mm","30.859mm","39.9847mm","30.859mm","T","180.00","240R-1%"
"R91","R_0402","39.4944mm","33.0424mm","39.4944mm","33.0424mm","39.9944mm","33.0424mm","T","180.00","2K-1%"
"R90","R_0402","11.5955mm","32.8148mm","11.5955mm","32.8148mm","11.242mm","33.1684mm","T","315.00","2K-1%"
"R89","R_0402","39.4575mm","36.2273mm","39.4575mm","36.2273mm","38.9575mm","36.2273mm","T","0.00","2K-1%"
"R86","R_0402","13.8815mm","35.1008mm","13.8815mm","35.1008mm","14.2351mm","34.7473mm","T","135.00","2K-1%"
"R81","R_0402","40.6776mm","41.8084mm","40.6776mm","41.8084mm","40.1776mm","41.8084mm","T","360.00","10K"
"R80","R_0402","50.0252mm","36.0614mm","50.0252mm","36.0614mm","50.5252mm","36.0614mm","T","180.00","10K"
"R8","R_0402","75.7042mm","34.7472mm","75.7042mm","34.7472mm","76.2042mm","34.7472mm","T","180.00","4.7K"
"R79","R_0402","40.6776mm","38.6334mm","40.6776mm","38.6334mm","40.1776mm","38.6334mm","T","360.00","10K"
"R77","R_0402","32.2711mm","31.9766mm","32.2711mm","31.9766mm","32.6247mm","31.6231mm","T","135.00","24R-1%"
"R76","R_0402","31.5091mm","31.2146mm","31.5091mm","31.2146mm","31.8627mm","30.8611mm","T","135.00","24R-1%"
"R75","R_0402","26.0989mm","32.2052mm","26.0989mm","32.2052mm","26.4525mm","31.8517mm","T","135.00","24R-1%"
"R74","R_0402","26.8355mm","32.9164mm","26.8355mm","32.9164mm","27.1891mm","32.5629mm","T","135.00","24R-1%"
"R73","R_0402","27.5467mm","33.6784mm","27.5467mm","33.6784mm","27.9003mm","33.3249mm","T","135.00","24R-1%"
"R72","R_0402","28.2325mm","34.415mm","28.2325mm","34.415mm","28.5861mm","34.0615mm","T","135.00","24R-1%"
"R71","R_0402","9.9191mm","31.113mm","9.9191mm","31.113mm","9.5656mm","31.4666mm","T","315.00","240R-1%"
"R7","R_0402","75.7042mm","33.8328mm","75.7042mm","33.8328mm","76.2042mm","33.8328mm","T","180.00","4.7K"
"R68","R_0402","22.355mm","25.6962mm","22.355mm","25.6962mm","22.855mm","25.6962mm","T","180.00","24R-1%"
"R65","R_0402","22.3552mm","24.6038mm","22.3552mm","24.6038mm","22.8552mm","24.6038mm","T","180.00","24R-1%"
"R6","R_0402","49.4156mm","29.9908mm","49.4156mm","29.9908mm","49.9156mm","29.9908mm","T","180.00","2.2K"
